shape,rate,shift,llh.missing,llh.all
5.3125,0.71875,7.125,-206.176933864426,-206.176933864426
5.3125,0.71875,7.375,-206.785017456846,-206.785017456846
5.9375,0.65625,7.125,-208.122228348554,-208.122228348554
5.9375,0.65625,7.375,-207.1421716197,-207.1421716197
5.9375,0.71875,7.125,-205.99337894238,-205.99337894238
5.9375,0.71875,7.375,-205.695543676583,-205.695543676583
5.3125,0.65625,7.625,-206.17840667445,-206.17840667445
5.3125,0.65625,7.875,-206.721284002321,-206.721284002321
5.3125,0.71875,7.625,-207.677747938734,-207.677747938734
5.9375,0.65625,7.625,-206.485693906408,-206.485693906408
5.9375,0.65625,7.875,-206.130602621703,-206.130602621703
5.9375,0.71875,7.625,-205.715113259027,-205.715113259027
5.9375,0.71875,7.875,-206.029650283057,-206.029650283057
6.5625,0.71875,7.375,-207.479306452528,-207.479306452528
6.5625,0.71875,7.625,-206.593348849304,-206.593348849304
6.5625,0.71875,7.875,-206.032576915944,-206.032576915944
5.3125,0.78125,6.125,-206.417976188105,-206.417976188105
5.3125,0.78125,6.375,-206.208890933166,-206.208890933166
5.3125,0.84375,6.125,-206.86914547469,-206.86914547469
5.3125,0.84375,6.375,-207.198551208909,-207.198551208909
5.9375,0.78125,6.125,-208.114332916052,-208.114332916052
5.9375,0.78125,6.375,-206.904172396531,-206.904172396531
5.9375,0.84375,6.125,-206.858763641011,-206.858763641011
5.9375,0.84375,6.375,-206.242689254571,-206.242689254571
5.3125,0.78125,6.625,-206.394661859203,-206.394661859203
5.3125,0.78125,6.875,-206.9388649176,-206.9388649176
5.3125,0.84375,6.625,-207.913855241825,-207.913855241825
5.9375,0.78125,6.625,-206.130135165601,-206.130135165601
5.9375,0.78125,6.875,-205.753531486832,-205.753531486832
5.9375,0.84375,6.625,-206.054633294529,-206.054633294529
5.9375,0.84375,6.875,-206.255632561296,-206.255632561296
5.3125,0.90625,6.125,-208.126432624811,-208.126432624811
5.9375,0.90625,6.125,-206.739139642758,-206.739139642758
5.9375,0.90625,6.375,-206.66412914341,-206.66412914341
5.9375,0.96875,6.125,-207.445202895692,-207.445202895692
5.9375,0.96875,6.375,-207.860982839288,-207.860982839288
